Phenotype,Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - EBV-transformed lymphocytes,Cells - Transformed fibroblasts,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
Duration of light DIY,228,10,174,57,176,32,59,103,40,54,97,168,206,95,102,104,74,185,207,161,104,158,246,138,83,251,90,213,143,231,71,208,176,14,188,248,195,147,76,165,148,35,256,222,20,32,43,79,153,44,233,19,123
Time spent watching television (TV),61,155,57,45,98,177,250,45,203,57,211,128,145,8,147,3,87,105,38,197,47,55,183,51,128,156,193,136,158,182,195,178,123,234,83,211,196,182,85,234,40,41,54,5,81,38,59,30,184,157,91,116
Time spent using computer,125,119,178,95,156,126,6,224,167,0,84,160,101,220,4,179,31,108,188,61,127,58,254,136,170,15,205,33,59,179,47,107,123,211,2,73,215,101,56,69,231,157,26,130,44,164,98,157,75,124,175,179
Time spent driving,76,190,20,188,230,77,57,36,70,115,75,223,219,25,36,89,83,76,232,245,184,102,170,58,110,4,154,14,141,72,109,124,3,42,251,126,140,112,196,91,129,62,193,254,220,10,225,252,239,82,166,82
Drive faster than motorway speed limit,239,236,57,157,191,248,55,223,34,238,210,150,55,145,218,99,58,148,157,170,153,131,229,180,146,143,81,49,112,153,108,86,8,64,243,80,42,221,74,201,172,14,9,160,201,225,174,110,54,112,141,29
Sleep duration,17,175,105,54,45,99,13,125,47,84,88,6,142,132,145,46,151,132,208,152,202,8,172,72,31,96,43,161,204,62,61,11,89,196,161,123,75,34,110,181,164,133,5,198,173,30,16,13,244,240,179,219
Getting up in morning,82,228,215,43,16,68,233,198,246,179,74,99,44,136,192,144,97,195,194,50,10,243,111,19,218,99,211,87,117,12,84,231,57,156,75,112,110,222,228,235,247,236,207,10,48,256,225,148,7,173,106,176
Morning/evening person (chronotype),190,187,25,87,227,225,180,1,237,0,157,160,172,188,163,142,130,167,189,141,27,6,2,34,38,213,151,37,20,44,175,171,135,236,113,177,10,20,28,114,228,181,162,165,103,175,188,34,151,112,235,162
Sleeplessness / insomnia,208,180,107,188,74,97,15,191,65,11,8,209,173,167,161,153,170,135,244,36,19,131,146,190,247,190,170,125,213,31,22,216,62,159,186,191,89,168,81,17,190,145,127,80,255,112,3,33,255,79,216,172
Snoring,125,119,178,95,156,126,6,224,167,0,84,160,101,220,4,179,31,108,188,61,127,58,254,136,170,15,205,33,59,179,47,107,123,211,2,73,215,101,56,69,231,157,26,130,44,164,98,157,75,124,175,179
Daytime dozing / sleeping (narcolepsy),239,236,57,157,191,248,55,223,34,238,210,150,55,145,218,99,58,148,157,170,153,131,229,180,146,143,81,49,112,153,108,86,8,64,243,80,42,221,74,201,172,14,9,160,201,225,174,110,54,112,141,29
Current tobacco smoking,6,160,187,42,148,42,101,199,34,241,87,132,169,225,174,127,227,30,208,39,136,12,75,107,132,55,250,26,64,3,169,196,174,195,1,121,187,218,61,41,148,1,45,228,8,179,231,190,100,42,130,174
Past tobacco smoking,76,190,20,188,230,77,57,36,70,115,75,223,219,25,36,89,83,76,232,245,184,102,170,58,110,4,154,14,141,72,109,124,3,42,251,126,140,112,196,91,129,62,193,254,220,10,225,252,239,82,166,82
Number of self-reported cancers,17,175,105,54,45,99,13,125,47,84,88,6,142,132,145,46,151,132,208,152,202,8,172,72,31,96,43,161,204,62,61,11,89,196,161,123,75,34,110,181,164,133,5,198,173,30,16,13,244,240,179,219
Number of self-reported non-cancer illnesses,239,236,57,157,191,248,55,223,34,238,210,150,55,145,218,99,58,148,157,170,153,131,229,180,146,143,81,49,112,153,108,86,8,64,243,80,42,221,74,201,172,14,9,160,201,225,174,110,54,112,141,29
Number of treatments/medications taken,61,155,57,45,98,177,250,45,203,57,211,128,145,8,147,3,87,105,38,197,47,55,183,51,128,156,193,136,158,182,195,178,123,234,83,211,196,182,85,234,40,41,54,5,81,38,59,30,184,157,91,116
Alcohol intake frequency,27,75,118,188,255,251,131,214,192,220,179,73,75,78,188,216,170,187,216,196,105,194,195,65,226,241,75,51,200,173,252,60,64,32,131,122,89,8,218,198,81,47,220,151,111,75,223,107,54,56,115,90
Average weekly red wine intake,27,75,118,188,255,251,131,214,192,220,179,73,75,78,188,216,170,187,216,196,105,194,195,65,226,241,75,51,200,173,252,60,64,32,131,122,89,8,218,198,81,47,220,151,111,75,223,107,54,56,115,90
Average weekly champagne plus white wine intake,6,160,187,42,148,42,101,199,34,241,87,132,169,225,174,127,227,30,208,39,136,12,75,107,132,55,250,26,64,3,169,196,174,195,1,121,187,218,61,41,148,1,45,228,8,179,231,190,100,42,130,174
Average weekly beer plus cider intake,4,35,205,22,82,160,108,195,222,94,228,56,197,107,185,46,239,222,207,124,209,251,183,250,236,170,198,249,99,78,218,127,226,60,200,236,211,128,167,30,101,31,203,67,227,89,164,156,48,62,203,163
